participant_id,name,gender,age,grade,major
S001,Zhang San,Male,20,Sophomore,Psychology
S002,Li Si,Female,19,Freshman,Education
S003,Wang Wu,Male,21,Junior,Psychology
S004,Zhao Liu,Female,20,Sophomore,Education
S005,Qian Qi,Male,22,Senior,Psychology
S006,Sun Ba,Female,19,Freshman,Psychology
S007,Zhou Jiu,Male,20,Sophomore,Education
S008,Wu Shi,Female,21,Junior,Psychology
S009,Zheng Yi,Male,19,Freshman,Education
S010,Feng Er,Female,22,Senior,Psychology
S011,Chen San,Male,20,Sophomore,Psychology
S012,Chu Si,Female,19,Freshman,Education
S013,Wei Wu,Male,21,Junior,Psychology
S014,Jiang Liu,Female,20,Sophomore,Education
S015,Shen Qi,Male,22,Senior,Psychology
S016,Han Ba,Female,19,Freshman,Psychology
S017,Yang Jiu,Male,20,Sophomore,Education
S018,Zhu Shi,Female,21,Junior,Psychology
S019,Qin Yi,Male,19,Freshman,Education
S020,You Er,Female,22,Senior,Psychology
S021,Xu San,Male,20,Sophomore,Psychology
S022,He Si,Female,19,Freshman,Education
S023,Lv Wu,Male,21,Junior,Psychology
S024,Shi Liu,Female,20,Sophomore,Education
S025,Zhang Qi,Male,22,Senior,Psychology
S026,Kong Ba,Female,19,Freshman,Psychology
S027,Cao Jiu,Male,20,Sophomore,Education
S028,Yan Shi,Female,21,Junior,Psychology
S029,Hua Yi,Male,19,Freshman,Education
S030,Jin Er,Female,22,Senior,Psychology
S031,Wei San,Male,20,Sophomore,Psychology
S032,Tao Si,Female,19,Freshman,Education
S033,Jiang Wu,Male,21,Junior,Psychology
S034,Qi Liu,Female,20,Sophomore,Education
S035,Xie Qi,Male,22,Senior,Psychology
S036,Zou Ba,Female,19,Freshman,Psychology
S037,Yu Jiu,Male,20,Sophomore,Education
S038,Bai Shi,Female,21,Junior,Psychology
S039,Shui Yi,Male,19,Freshman,Education
S040,Dou Er,Female,22,Senior,Psychology
S041,Zhang San,Male,20,Sophomore,Psychology
S042,Yun Si,Female,19,Freshman,Education
S043,Su Wu,Male,21,Junior,Psychology
S044,Pan Liu,Female,20,Sophomore,Education
S045,Ge Qi,Male,22,Senior,Psychology
S046,Xi Ba,Female,19,Freshman,Psychology
S047,Fan Jiu,Male,20,Sophomore,Education
S048,Peng Shi,Female,21,Junior,Psychology
S049,Lang Yi,Male,19,Freshman,Education
S050,Lu Er,Female,22,Senior,Psychology
