SurveyID,Respondent,Department,Position,ManagementLevel,LeadershipMotivationSkills,PlanningOrganizationCoordinationSkills,DecisionInnovationSkills,ProfessionalControlSkills,CreatedTime
CLIImport_20250902_154135,Zhang San,Technical Dept,Department Manager,Middle,4.2,4.0,3.8,4.5,2025-09-02 07:41:35
CLIImport_20250902_154135,Li Si,Marketing Dept,Project Manager,Junior,3.5,3.8,4.0,3.2,2025-09-02 07:41:35
CLIImport_20250902_154135,Wang Wu,HR Dept,Team Leader,Senior,4.8,4.5,4.2,4.0,2025-09-02 07:41:35
CLIImport_20250902_154135,Zhao Liu,Finance Dept,Department Manager,Middle,3.8,4.2,3.5,4.1,2025-09-02 07:41:35
CLIImport_20250902_154135,Qian Qi,Technical Dept,Project Manager,Junior,3.2,3.5,3.8,3.6,2025-09-02 07:41:35
CLIImport_20250902_154135,Sun Ba,Marketing Dept,Team Leader,Middle,4.1,3.9,4.3,3.7,2025-09-02 07:41:35
CLIImport_20250902_154135,Zhou Jiu,HR Dept,Department Manager,Senior,4.6,4.3,4.1,4.2,2025-09-02 07:41:35
CLIImport_20250902_154135,Wu Shi,Finance Dept,Project Manager,Junior,3.4,3.7,3.3,3.9,2025-09-02 07:41:35
CLIImport_20250902_155507,Zhang San,Technical Dept,Department Manager,Middle,4.2,4.0,3.8,4.5,2025-09-02 07:55:07
CLIImport_20250902_155507,Li Si,Marketing Dept,Project Manager,Junior,3.5,3.8,4.0,3.2,2025-09-02 07:55:07
CLIImport_20250902_155507,Wang Wu,HR Dept,Team Leader,Senior,4.8,4.5,4.2,4.0,2025-09-02 07:55:07
CLIImport_20250902_155507,Zhao Liu,Finance Dept,Department Manager,Middle,3.8,4.2,3.5,4.1,2025-09-02 07:55:07
CLIImport_20250902_155507,Qian Qi,Technical Dept,Project Manager,Junior,3.2,3.5,3.8,3.6,2025-09-02 07:55:07
CLIImport_20250902_155507,Sun Ba,Marketing Dept,Team Leader,Middle,4.1,3.9,4.3,3.7,2025-09-02 07:55:07
CLIImport_20250902_155507,Zhou Jiu,HR Dept,Department Manager,Senior,4.6,4.3,4.1,4.2,2025-09-02 07:55:07
CLIImport_20250902_155507,Wu Shi,Finance Dept,Project Manager,Junior,3.4,3.7,3.3,3.9,2025-09-02 07:55:07
CLIImport_20250902_155519,Zhang San,Technical Dept,Department Manager,Middle,4.2,4.0,3.8,4.5,2025-09-02 07:55:19
CLIImport_20250902_155519,Li Si,Marketing Dept,Project Manager,Junior,3.5,3.8,4.0,3.2,2025-09-02 07:55:19
CLIImport_20250902_155519,Wang Wu,HR Dept,Team Leader,Senior,4.8,4.5,4.2,4.0,2025-09-02 07:55:19
CLIImport_20250902_155519,Zhao Liu,Finance Dept,Department Manager,Middle,3.8,4.2,3.5,4.1,2025-09-02 07:55:19
CLIImport_20250902_155519,Qian Qi,Technical Dept,Project Manager,Junior,3.2,3.5,3.8,3.6,2025-09-02 07:55:19
CLIImport_20250902_155519,Sun Ba,Marketing Dept,Team Leader,Middle,4.1,3.9,4.3,3.7,2025-09-02 07:55:19
CLIImport_20250902_155519,Zhou Jiu,HR Dept,Department Manager,Senior,4.6,4.3,4.1,4.2,2025-09-02 07:55:19
CLIImport_20250902_155519,Wu Shi,Finance Dept,Project Manager,Junior,3.4,3.7,3.3,3.9,2025-09-02 07:55:19

