Name,Department,Position,Management Level,Leadership and Motivation Skills,Planning Organization and Coordination Skills,Decision Making and Innovation Skills,Professional and Control Skills
Zhang San,Technology Department,Department Manager,Middle,4.2,4.0,3.8,4.5
Li Si,Marketing Department,Project Manager,Junior,3.5,3.8,4.0,3.2
Wang Wu,Human Resources Department,Team Leader,Senior,4.8,4.5,4.2,4.0
Zhao Liu,Finance Department,Department Manager,Middle,3.8,4.2,3.5,4.1
Qian Qi,Technology Department,Project Manager,Junior,3.2,3.5,3.8,3.6
Sun Ba,Marketing Department,Team Leader,Middle,4.1,3.9,4.3,3.7
Zhou Jiu,Human Resources Department,Department Manager,Senior,4.6,4.3,4.1,4.2
Wu Shi,Finance Department,Project Manager,Junior,3.4,3.7,3.3,3.9
Zheng Yi,Technology Department,Team Leader,Middle,3.9,4.1,4.0,4.3
Wang Er,Marketing Department,Department Manager,Senior,4.4,4.2,4.5,4.1
Li San,Operations Department,Project Manager,Junior,3.6,3.4,3.7,3.5
Zhang Si,Operations Department,Team Leader,Middle,4.0,3.8,3.9,4.0
Liu Wu,Technology Department,Senior Specialist,Junior,3.3,3.6,3.4,3.8
Chen Liu,Marketing Department,Senior Specialist,Junior,3.7,3.5,3.9,3.4
Yang Qi,Human Resources Department,Specialist,Junior,3.1,3.3,3.2,3.6
Huang Ba,Finance Department,Senior Specialist,Junior,3.5,3.9,3.1,4.0
Lin Jiu,Operations Department,Department Manager,Senior,4.3,4.0,4.4,4.2
He Shi,Technology Department,Architect,Senior,4.7,4.4,4.6,4.8
Luo Yi,Marketing Department,Marketing Director,Senior,4.5,4.1,4.3,4.0
Liang Er,Human Resources Department,HR Director,Senior,4.9,4.6,4.2,4.3
